epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.503216,0.364333,0.869816,23.19,0.00100000
2,0.298067,0.258306,0.888943,4.88,0.00099800
3,0.289519,0.264348,0.915522,4.79,0.00099400
4,0.247136,0.205614,0.888739,4.84,0.00098600
5,0.240029,0.235756,0.820885,4.78,0.00097600
6,0.224549,0.190202,0.888979,4.75,0.00096200
7,0.210411,0.161159,0.923021,4.88,0.00094600
8,0.190041,0.198383,0.857038,4.92,0.00092600
9,0.173824,0.152078,0.933975,5.01,0.00090500
10,0.170159,0.165444,0.940262,4.96,0.00088000
11,0.154158,0.158292,0.93397,4.95,0.00085400
12,0.156384,0.143775,0.942603,4.99,0.00082500
13,0.141337,0.133497,0.939577,4.92,0.00079400
14,0.138214,0.146609,0.903445,5.08,0.00076100
15,0.147459,0.136771,0.920236,5.06,0.00072700
16,0.136005,0.117707,0.952642,5.05,0.00069100
17,0.124602,0.139325,0.922802,4.99,0.00065500
18,0.121406,0.111975,0.952877,4.99,0.00061700
19,0.111462,0.116028,0.947981,5.02,0.00057800
20,0.111102,0.106511,0.951482,4.88,0.00053900
21,0.106098,0.107733,0.942854,4.79,0.00050000
22,0.113987,0.109065,0.941224,4.78,0.00046100
23,0.103381,0.118062,0.952172,4.77,0.00042200
24,0.097374,0.101305,0.947286,4.81,0.00038300
25,0.094666,0.104715,0.956144,4.83,0.00034500
26,0.094583,0.0992,0.955914,4.84,0.00030900
27,0.089746,0.101387,0.946821,4.77,0.00027300
28,0.086006,0.097983,0.955449,4.89,0.00023900
29,0.08161,0.09568,0.954048,4.84,0.00020600
30,0.080482,0.096293,0.957544,4.9,0.00017500
31,0.080283,0.095386,0.955679,4.77,0.00014600
32,0.078736,0.094596,0.952182,4.87,0.00012000
33,0.076757,0.095217,0.955679,4.86,0.00009550
34,0.076082,0.093729,0.957079,4.83,0.00007370
35,0.072813,0.098978,0.958009,4.95,0.00005450
36,0.073401,0.092992,0.955213,4.83,0.00003810
37,0.072591,0.093105,0.953348,4.78,0.00002450
38,0.071422,0.094233,0.958244,4.85,0.00001380
39,0.071321,0.093933,0.956379,4.79,0.00000616
40,0.070981,0.093472,0.955213,4.95,0.00000154
