epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.510768,0.36179,0.815743,22.99,0.001
2,0.33995,0.233614,0.884297,5.14,0.001
3,0.321861,0.256026,0.912491,5.02,0.001
4,0.284437,0.237634,0.840237,5.05,0.001
5,0.285099,0.320014,0.727136,5.05,0.001
6,0.269195,0.227932,0.855862,5.02,0.001
7,0.261064,0.224673,0.86146,5.03,0.001
8,0.250485,0.19285,0.902734,5.02,0.001
9,0.245289,0.191071,0.926272,5.15,0.001
10,0.236592,0.230392,0.925086,5.06,0.001
11,0.207086,0.149228,0.937706,5.12,0.001
12,0.202911,0.28992,0.914341,5.06,0.001
13,0.199616,0.157124,0.946805,5.0,0.001
14,0.173413,0.127963,0.940278,5.16,0.001
15,0.191185,0.171846,0.944464,5.22,0.001
16,0.190712,0.155031,0.9475,5.15,0.001
17,0.170893,0.138896,0.947505,5.02,0.001
18,0.170974,0.137873,0.953567,5.02,0.001
19,0.171849,0.124441,0.950541,5.08,0.001
20,0.166486,0.220419,0.938851,5.07,0.001
21,0.163736,0.120794,0.950771,5.08,0.001
22,0.145549,0.129832,0.949136,5.01,0.001
23,0.155272,0.17037,0.94959,5.07,0.001
24,0.156827,0.103696,0.94728,5.09,0.001
25,0.138739,0.159414,0.950291,5.03,0.001
26,0.144309,0.128521,0.96033,5.11,0.001
27,0.141313,0.161416,0.952857,5.07,0.001
28,0.131676,0.141316,0.954027,5.1,0.001
29,0.134377,0.136379,0.954727,5.1,0.001
30,0.133522,0.212439,0.940952,5.16,0.001
31,0.160696,0.304191,0.915271,5.0,0.001
32,0.140584,0.134802,0.956128,5.1,0.001
33,0.129579,0.119708,0.959164,5.13,0.001
34,0.129699,0.274192,0.92344,5.05,0.001
35,0.128703,0.131445,0.956593,5.18,0.001
36,0.122471,0.136687,0.951226,5.08,0.001
37,0.124602,0.162073,0.951921,5.02,0.001
38,0.123414,0.165043,0.947489,5.12,0.001
39,0.117814,0.111989,0.958934,6.23,0.001
40,0.119685,0.128402,0.956828,6.77,0.001
41,0.121601,0.101485,0.965232,6.56,0.001
42,0.123737,0.141096,0.952391,6.59,0.001
43,0.111992,0.171466,0.949355,6.63,0.001
44,0.105376,0.117957,0.959629,6.65,0.001
45,0.108948,0.079908,0.970369,6.58,0.001
46,0.113387,0.106748,0.959865,6.6,0.001
47,0.118914,0.11107,0.96243,6.74,0.001
48,0.102267,0.086704,0.967103,6.64,0.001
49,0.113779,0.126252,0.96056,6.68,0.001
50,0.106062,0.14355,0.956593,6.64,0.001
51,0.105627,0.163506,0.955187,6.56,0.001
52,0.110943,0.103961,0.964996,6.62,0.001
53,0.109321,0.088232,0.969198,6.69,0.001
54,0.102421,0.134752,0.956358,6.77,0.001
55,0.098296,0.099433,0.963596,6.68,0.001
56,0.10327,0.137984,0.962425,6.74,0.001
57,0.107277,0.084978,0.968733,6.66,0.001
58,0.098748,0.180394,0.948184,6.57,0.001
59,0.092124,0.110873,0.965927,6.62,0.001
60,0.10261,0.077656,0.9727,6.73,0.001
61,0.095186,0.243099,0.939311,6.68,0.001
62,0.107587,0.124744,0.964991,6.62,0.001
63,0.093209,0.152629,0.960554,6.68,0.001
64,0.098016,0.092493,0.966167,6.7,0.001
65,0.106379,0.075227,0.967343,6.54,0.001
66,0.089949,0.127096,0.965456,6.65,0.001
67,0.100168,0.088698,0.972929,6.63,0.001
68,0.088644,0.109278,0.967327,6.55,0.001
69,0.086647,0.114931,0.965226,6.64,0.001
70,0.087282,0.148178,0.961255,6.74,0.001
71,0.081327,0.09208,0.971064,6.66,0.001
72,0.084645,0.096293,0.969428,6.66,0.001
73,0.079886,0.136553,0.964291,6.76,0.001
74,0.08811,0.097781,0.968728,6.69,0.001
75,0.081115,0.056981,0.97294,6.63,0.001
76,0.087172,0.163433,0.957753,6.59,0.001
77,0.088553,0.153283,0.96172,6.58,0.001
78,0.077717,0.131972,0.965927,6.62,0.001
79,0.088139,0.175417,0.954252,6.83,0.001
80,0.079041,0.20319,0.951216,6.64,0.001
