epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.510716,0.361841,0.819474,25.42,0.001
2,0.33995,0.2335,0.884997,6.9,0.001
3,0.32036,0.250862,0.914592,6.83,0.001
4,0.280196,0.236935,0.828578,6.88,0.001
5,0.277256,0.314096,0.729702,6.77,0.001
6,0.255862,0.213683,0.86286,6.61,0.001
7,0.242718,0.185689,0.897837,6.62,0.001
8,0.224635,0.167693,0.910897,6.67,0.001
9,0.221847,0.17747,0.93327,6.75,0.001
10,0.211959,0.273403,0.918778,6.62,0.001
11,0.192737,0.186022,0.936295,6.67,0.001
12,0.194471,0.283023,0.918308,6.72,0.001
13,0.19795,0.189523,0.931634,6.69,0.001
14,0.181177,0.142522,0.938642,6.77,0.001
15,0.197689,0.165549,0.939802,6.74,0.001
16,0.196405,0.181318,0.942828,6.77,0.001
17,0.171836,0.142113,0.946105,6.67,0.001
18,0.176051,0.141058,0.949366,6.67,0.001
19,0.183475,0.129637,0.94634,6.61,0.001
20,0.176934,0.199732,0.940487,6.69,0.001
21,0.170328,0.119112,0.94704,6.58,0.001
22,0.150835,0.150097,0.945864,6.56,0.001
23,0.154268,0.157206,0.951926,6.61,0.001
24,0.163796,0.111059,0.950777,6.73,0.001
25,0.145504,0.166231,0.950991,6.66,0.001
26,0.14915,0.147211,0.952862,6.69,0.001
27,0.142511,0.169135,0.94726,6.64,0.001
28,0.145227,0.136886,0.955663,6.72,0.001
29,0.139907,0.117197,0.956133,6.73,0.001
30,0.131821,0.18906,0.945153,6.71,0.001
31,0.15944,0.315197,0.917602,6.67,0.001
32,0.142269,0.142178,0.953327,6.68,0.001
33,0.128901,0.101619,0.954043,6.74,0.001
34,0.137218,0.241295,0.932078,6.89,0.001
35,0.137138,0.136885,0.955428,6.96,0.001
36,0.125775,0.181365,0.939786,6.87,0.001
37,0.125205,0.178223,0.945619,6.76,0.001
38,0.132437,0.213212,0.937915,6.74,0.001
39,0.123819,0.097629,0.956839,6.87,0.001
40,0.124886,0.111968,0.957534,6.96,0.001
