epoch,train_loss,val_loss,val_bal_acc,seconds
1,0.50317,0.364226,0.869116,24.68
2,0.298465,0.253344,0.893145,6.21
3,0.286764,0.260149,0.915522,6.07
4,0.245709,0.204166,0.889439,6.2
5,0.23898,0.236434,0.825317,6.12
6,0.222588,0.188891,0.885483,6.14
7,0.208296,0.160867,0.910432,6.13
8,0.184315,0.162824,0.89015,6.16
9,0.17308,0.142175,0.93142,6.25
10,0.172462,0.162247,0.9349,6.18
11,0.155726,0.15219,0.936306,6.17
12,0.156929,0.155449,0.941433,6.26
13,0.143455,0.128332,0.937482,6.17
14,0.140893,0.134863,0.916269,6.3
15,0.14906,0.135387,0.91837,6.32
16,0.137595,0.116369,0.946585,6.25
17,0.130894,0.133639,0.925368,6.18
18,0.123066,0.110274,0.94658,6.18
19,0.11909,0.121052,0.934696,6.22
20,0.126952,0.112311,0.949611,6.17
21,0.115334,0.113033,0.940523,6.14
22,0.110391,0.102632,0.947981,6.12
23,0.100658,0.102974,0.94658,6.14
24,0.099596,0.108352,0.940293,6.22
25,0.093158,0.104847,0.954743,6.19
26,0.09376,0.093173,0.949846,6.2
27,0.090355,0.099352,0.956609,6.05
28,0.083965,0.0913,0.954513,6.25
29,0.080743,0.088191,0.951017,6.25
30,0.080944,0.101424,0.951477,6.26
31,0.107283,0.134859,0.958464,6.16
32,0.075901,0.088587,0.953818,6.23
33,0.06911,0.089122,0.956149,6.19
34,0.06967,0.161795,0.961025,6.27
35,0.074068,0.093131,0.955684,6.31
36,0.063066,0.087181,0.956844,6.28
37,0.071147,0.141822,0.961725,6.21
38,0.076059,0.156441,0.957758,6.16
39,0.066307,0.084371,0.96011,6.42
40,0.057585,0.090324,0.954048,6.39
