epoch,train_loss,val_loss,val_bal_acc,seconds,learning rate
1,0.474056,0.360215,0.656711,25.54,0.001
2,0.33839,0.381641,0.631292,6.87,0.001
3,0.326536,0.278029,0.819244,6.88,0.001
4,0.306465,0.238762,0.854222,6.83,0.001
5,0.306368,0.230335,0.869147,6.83,0.001
6,0.289923,0.22905,0.918804,6.76,0.001
7,0.269848,0.221086,0.919029,6.88,0.001
8,0.245937,0.202518,0.924631,6.62,0.001
9,0.236827,0.164225,0.918119,6.64,0.001
10,0.237463,0.176068,0.893181,6.7,0.001
11,0.232084,0.206583,0.929293,6.65,0.001
12,0.208346,0.161305,0.930479,6.65,0.001
13,0.218385,0.172986,0.937466,6.77,0.001
14,0.201931,0.145718,0.929089,6.64,0.001
15,0.204316,0.154776,0.935606,6.59,0.001
16,0.19986,0.174952,0.93536,6.65,0.001
17,0.201109,0.144256,0.932115,6.65,0.001
18,0.184704,0.154547,0.940267,6.67,0.001
19,0.185989,0.158489,0.938637,6.67,0.001
20,0.177671,0.152025,0.945864,6.74,0.001
21,0.16769,0.175468,0.940257,6.61,0.001
22,0.16346,0.158901,0.941427,6.57,0.001
23,0.170755,0.136359,0.945404,6.65,0.001
24,0.159358,0.156513,0.939332,6.67,0.001
25,0.162785,0.129809,0.943073,6.62,0.001
26,0.155091,0.134722,0.944704,6.62,0.001
27,0.151485,0.210449,0.942352,6.58,0.001
28,0.152571,0.16307,0.949125,6.66,0.001
29,0.139205,0.117474,0.952172,6.78,0.001
30,0.15768,0.160462,0.945624,6.78,0.001
31,0.15174,0.106423,0.949151,6.74,0.001
32,0.139565,0.127354,0.949136,6.59,0.001
33,0.133951,0.127888,0.952632,6.71,0.001
34,0.136604,0.193091,0.941422,6.7,0.001
35,0.154948,0.126106,0.947735,6.63,0.001
36,0.14102,0.390103,0.893327,6.7,0.001
37,0.135875,0.201808,0.945383,6.67,0.001
38,0.126321,0.145983,0.952391,6.63,0.001
39,0.128435,0.174835,0.949355,6.63,0.001
40,0.136737,0.125721,0.953097,6.62,0.001
