epoch,train_loss,val_loss,val_bal_acc,seconds
1,0.428611,0.306882,0.739031,23.24
2,0.297271,0.407782,0.630827,4.84
3,0.272496,0.225476,0.916714,4.79
4,0.244858,0.196299,0.908321,4.76
5,0.24026,0.220204,0.92207,4.85
6,0.233795,0.195722,0.917879,4.77
7,0.209046,0.181206,0.921846,4.85
8,0.199021,0.182642,0.925107,4.83
9,0.200145,0.161762,0.896907,4.78
10,0.200842,0.252424,0.809931,4.82
11,0.193296,0.154311,0.903205,4.83
12,0.164515,0.153017,0.890615,4.8
13,0.183703,0.138954,0.927223,4.9
14,0.160888,0.144748,0.90414,4.82
15,0.163631,0.134926,0.938417,4.74
16,0.155124,0.131887,0.936787,4.8
17,0.161549,0.1465,0.899478,4.86
18,0.142363,0.123228,0.939117,4.83
19,0.145676,0.127641,0.947045,4.83
20,0.13733,0.116018,0.943084,4.84
21,0.137584,0.125727,0.94774,4.74
22,0.13417,0.131873,0.94681,4.78
23,0.12827,0.137945,0.910443,4.76
24,0.131558,0.111283,0.947045,4.86
25,0.127588,0.112403,0.938658,4.81
26,0.120669,0.10922,0.938192,4.77
27,0.113612,0.11272,0.954738,4.75
28,0.109818,0.101794,0.948681,4.84
29,0.107103,0.128356,0.912308,4.9
30,0.116661,0.109651,0.947975,4.89
31,0.107602,0.151937,0.887589,4.91
32,0.09956,0.107875,0.937727,4.79
33,0.107173,0.105952,0.937262,4.82
34,0.105624,0.107738,0.953348,4.78
35,0.104438,0.092363,0.953118,4.81
36,0.096131,0.192114,0.950986,4.9
37,0.102946,0.134505,0.96196,4.81
38,0.090147,0.092989,0.953348,4.8
39,0.0892,0.098345,0.964307,4.76
40,0.091849,0.091421,0.951252,4.79
